ZIP,LAT,LNG
75001,32.960047,-96.838522
75002,33.089854,-96.6086
75006,32.962141,-96.898585
75007,33.005262,-96.896742
75009,33.338899,-96.752977
75010,33.051508,-96.918271
75013,33.114327,-96.693964
75019,32.963417,-96.984664
75020,33.770785,-96.604061
75021,33.727126,-96.470794
75022,33.03489,-97.124906
75023,33.056789,-96.730859
75024,33.075422,-96.802686
75025,33.090085,-96.740008
75028,33.03271,-97.06007
75032,32.857112,-96.43121
75034,33.146665,-96.855767
75035,33.16313,-96.790193
75038,32.874776,-96.996862
75039,32.885608,-96.942654
75040,32.928902,-96.619782
75041,32.880196,-96.651555
75042,32.911702,-96.674838
75043,32.857447,-96.575798
75044,32.964609,-96.649688
75048,32.968973,-96.580671
75050,32.773069,-97.005227
75051,32.729439,-96.996469
75052,32.664772,-97.029478
75054,32.59121,-97.039429
75056,33.070183,-96.917762
75057,33.050725,-96.974623
75058,33.450768,-96.742245
75060,32.796483,-96.954806
75061,32.825907,-96.966915
75062,32.84737,-96.957871
75063,32.920235,-96.985203
75065,33.110351,-97.005469
75067,33.013546,-97.00016
75068,33.177062,-96.950292
75069,33.176915,-96.590344
75070,33.17193,-96.696261
75071,33.245816,-96.63072
75074,33.031561,-96.673164
75075,33.021268,-96.741558
75076,33.800692,-96.726011
75077,33.081178,-97.060925
75078,33.241758,-96.811855
75080,32.976063,-96.74208
75081,32.948918,-96.709719
75082,32.991567,-96.662949
75087,32.943901,-96.452875
75088,32.897841,-96.55037
75089,32.936586,-96.551566
75090,33.604131,-96.550405
75092,33.652066,-96.700263
75093,33.034224,-96.811608
75094,33.021794,-96.615481
75098,33.012135,-96.534936
75101,32.270032,-96.702494
75102,32.057938,-96.632547
75103,32.516879,-95.883624
75104,32.580181,-96.964675
75105,32.26301,-96.387663
75109,32.042784,-96.343754
75110,32.084614,-96.527768
75114,32.610575,-96.444256
75115,32.599427,-96.864075
75116,32.66066,-96.911882
75117,32.715013,-95.854461
75119,32.325865,-96.588493
75124,32.326026,-95.974056
75125,32.5367,-96.621747
75126,32.742601,-96.452883
75127,32.690295,-95.789932
75132,32.945748,-96.373883
75134,32.617663,-96.778058
75135,33.066345,-96.221437
75137,32.643212,-96.916468
75140,32.646573,-95.687531
75141,32.637333,-96.697609
75142,32.568163,-96.250214
75143,32.366686,-96.245039
75144,32.108388,-96.207955
75146,32.564518,-96.752223
75147,32.436676,-96.079558
75148,32.126221,-96.02413
75149,32.773369,-96.618811
75150,32.817399,-96.630416
75152,32.439871,-96.678051
75153,32.158265,-96.329632
75154,32.521773,-96.807315
75155,32.229113,-96.475509
75156,32.277759,-96.105332
75157,32.464184,-96.439335
75158,32.462594,-96.402343
75159,32.604543,-96.543538
75160,32.758408,-96.301323
75161,32.738471,-96.169166
75163,32.166584,-96.11882
75164,33.065971,-96.308737
75165,32.372201,-96.784944
75166,33.013047,-96.453887
75167,32.360829,-96.915523
75169,32.703269,-95.994666
75172,32.605177,-96.674317
75173,33.061737,-96.395825
75180,32.716606,-96.620087
75181,32.723893,-96.555804
75182,32.800525,-96.547577
75189,32.94205,-96.311669
75201,32.787758,-96.799425
75202,32.779253,-96.804768
75203,32.746823,-96.802681
75204,32.802127,-96.788853
75205,32.835893,-96.795514
75206,32.831279,-96.771191
75207,32.786796,-96.819971
75208,32.753141,-96.839613
75209,32.84831,-96.825474
75210,32.770635,-96.746362
75211,32.736986,-96.907815
75212,32.781246,-96.878831
75214,32.828494,-96.745968
75215,32.750602,-96.756846
75216,32.711324,-96.781215
75217,32.710306,-96.678549
75218,32.841987,-96.702574
75219,32.811813,-96.812898
75220,32.868529,-96.876118
75223,32.792244,-96.744003
75224,32.711405,-96.838591
75225,32.864887,-96.790359
75226,32.782826,-96.776443
75227,32.76681,-96.6869
75228,32.824924,-96.679438
75229,32.893295,-96.864339
75230,32.902679,-96.793393
75231,32.873485,-96.747539
75232,32.660862,-96.840948
75233,32.703913,-96.871889
75234,32.923189,-96.891721
75235,32.832614,-96.849082
75236,32.676397,-96.936798
75237,32.665617,-96.873056
75238,32.878497,-96.707819
75240,32.930338,-96.787496
75241,32.665447,-96.759451
75243,32.912633,-96.736637
75244,32.925367,-96.836334
75246,32.792496,-96.772763
75247,32.813735,-96.883667
75248,32.969699,-96.797334
75249,32.636069,-96.9646
75251,32.919789,-96.770948
75252,32.997373,-96.788213
75253,32.674426,-96.609228
75254,32.944116,-96.80009
75270,32.781197,-96.802229
75287,32.999309,-96.841688
75390,32.814164,-96.84065
75401,33.189002,-96.108829
75402,33.068405,-96.084953
75407,33.151067,-96.472288
75409,33.3555,-96.516313
75410,32.790203,-95.631982
75411,33.866542,-95.639723
75412,33.801868,-95.151966
75413,33.44144,-96.179163
75414,33.623645,-96.427867
75415,33.462218,-95.757461
75416,33.683869,-95.344733
75417,33.439658,-95.140371
75418,33.571922,-96.170962
75420,33.052795,-95.72123
75421,33.661952,-95.731361
75422,33.141516,-95.934235
75423,33.284688,-96.200217
75424,33.321715,-96.378507
75426,33.663063,-94.997258
75428,33.271869,-95.917415
75431,33.01419,-95.460935
75432,33.397601,-95.681769
75433,33.098096,-95.803234
75435,33.482646,-95.320088
75436,33.713765,-95.240033
75437,33.261225,-95.47242
75438,33.615571,-96.072162
75439,33.55352,-96.282897
75440,32.881155,-95.747763
75441,33.427656,-95.642911
75442,33.174219,-96.356004
75446,33.615167,-95.900109
75447,33.776751,-96.10937
75448,33.316269,-95.788968
75449,33.420872,-95.945707
75450,33.40225,-95.483203
